"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Variável x Ano x Produto das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Área plantada (Hectares)"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)"
"MU","4309555","Harmonia (RS)","3","3","3","3","3","3","3","3","3","3","-","-","-","-","-","-","-"
"MU","4309571","Herveiras (RS)","10","10","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4309605","Horizontina (RS)","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4309654","Hulha Negra (RS)","1500","600","1100","1100","1100","1542","1200","1100","1100","1200","1235","938","812","545","600","543","350"
"MU","4309704","Humaitá (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4309753","Ibarama (RS)","6","6","3","3","3","3","5","5","5","5","8","10","8","8","8","8","5"
"MU","4309803","Ibiaçá (RS)","5","5","5","5","5","5","2","2","2","-","-","-","-","-","-","-","-"
"MU","4309902","Ibiraiaras (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4309951","Ibirapuitã (RS)","25","25","20","20","15","10","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310009","Ibirubá (RS)","8","8","8","8","8","5","15","10","5","3","3","3","10","-","-","-","-"
"MU","4310108","Igrejinha (RS)","6","6","6","6","5","6","3","3","1","1","-","-","-","-","-","1","-"
"MU","4310207","Ijuí (RS)","50","50","50","30","30","15","15","10","10","5","-","-","-","-","-","-","-"
"MU","4310306","Ilópolis (RS)","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2"
"MU","4310330","Imbé (RS)","120","120","-","-","-","-","-","-","-","-","-","-","-","-","...","-","-"
"MU","4310363","Imigrante (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310405","Independência (RS)","50","30","30","-","-","8","8","8","8","8","8","8","8","8","-","-","-"
"MU","4310413","Inhacorá (RS)","10","10","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310439","Ipê (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310462","Ipiranga do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310504","Iraí (RS)","50","50","50","50","30","30","10","10","10","10","3","8","3","3","3","3","3"
"MU","4310538","Itaara (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310553","Itacurubi (RS)","2000","1600","2100","1523","1650","1285","1320","670","760","798","760","750","750","750","625","750","-"
"MU","4310579","Itapuca (RS)","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310603","Itaqui (RS)","62000","54824","65500","65500","65550","73714","70800","81984","81222","82500","74190","79000","77000","71357","66400","58209","60148"
"MU","4310652","Itati (RS)","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310702","Itatiba do Sul (RS)","5","5","5","2","2","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310751","Ivorá (RS)","35","35","40","40","45","45","50","50","50","50","50","50","50","50","50","40","40"
"MU","4310801","Ivoti (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310850","Jaboticaba (RS)","120","120","120","120","15","15","10","10","-","-","-","-","-","-","-","-","-"
"MU","4310876","Jacuizinho (RS)","6","6","6","6","6","4","-","-","-","-","-","-","-","-","-","-","-"
"MU","4310900","Jacutinga (RS)","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311007","Jaguarão (RS)","17800","17800","20200","21200","20594","21450","20312","19952","22188","21600","23113","21475","20303","18932","18108","18019","17620"
"MU","4311106","Jaguari (RS)","2450","2450","2450","2450","2300","2400","1800","2205","2200","2197","2180","2200","2198","1980","1887","1850","2100"
"MU","4311122","Jaquirana (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311130","Jari (RS)","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311155","Jóia (RS)","5","10","10","10","10","10","10","-","-","-","-","-","-","-","2","2","2"
"MU","4311205","Júlio de Castilhos (RS)","50","30","20","10","10","5","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311239","Lagoa Bonita do Sul (RS)","3","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311254","Lagoão (RS)","30","30","30","30","15","15","10","5","-","-","-","-","-","-","-","-","-"
"MU","4311270","Lagoa dos Três Cantos (RS)","5","5","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311304","Lagoa Vermelha (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311403","Lajeado (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311429","Lajeado do Bugre (RS)","20","20","20","20","3","3","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311502","Lavras do Sul (RS)","3100","3100","3100","3500","3500","3100","3100","3100","3100","3100","3100","3386","3375","3753","3055","3093","3123"
"MU","4311601","Liberato Salzano (RS)","20","20","20","20","5","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311627","Lindolfo Collor (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311643","Linha Nova (RS)","8","8","5","5","5","5","5","5","5","5","5","5","5","5","3","3","1"
"MU","4311700","Machadinho (RS)","-","-","-","-","-","-","-","-","-","-","-","1","2","2","2","2","1"
"MU","4311718","Maçambará (RS)","18140","13964","17050","18050","18050","18090","13605","15298","15808","16200","16514","16000","16000","20605","20605","17895","20110"
"MU","4311734","Mampituba (RS)","888","922","1115","1115","1115","1280","900","900","900","900","900","900","900","900","900","900","1300"
"MU","4311759","Manoel Viana (RS)","4150","3735","4000","4100","4440","4350","3793","3470","3064","3006","2789","3362","2618","2600","2542","2600","2542"
"MU","4311775","Maquiné (RS)","350","350","350","350","500","350","350","350","350","350","350","350","380","385","385","385","270"
"MU","4311791","Maratá (RS)","10","10","10","10","10","10","10","10","10","10","-","-","-","-","-","-","-"
"MU","4311809","Marau (RS)","70","50","50","20","2","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4311908","Marcelino Ramos (RS)","25","25","25","25","10","10","10","-","-","-","-","-","-","-","-","-","-"
"MU","4311981","Mariana Pimentel (RS)","602","602","602","622","752","752","730","810","810","915","915","915","915","800","800","800","900"
"MU","4312005","Mariano Moro (RS)","15","10","10","6","6","6","2","-","-","-","-","-","-","-","-","-","-"
"MU","4312054","Marques de Souza (RS)","12","12","12","10","4","5","4","2","-","-","-","-","-","-","-","-","-"
"MU","4312104","Mata (RS)","1600","1600","1600","1800","1800","1750","1300","1300","1300","1300","1300","1800","1300","1170","1170","1300","1805"
"MU","4312138","Mato Castelhano (RS)","15","10","10","10","10","10","5","5","5","5","5","5","5","5","5","5","5"
"MU","4312153","Mato Leitão (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312179","Mato Queimado (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312203","Maximiliano de Almeida (RS)","10","2","2","2","2","2","2","2","2","-","-","-","-","-","-","-","-"
"MU","4312252","Minas do Leão (RS)","4000","4000","5500","5000","4200","4100","3020","2900","2900","2900","1700","1791","1800","1800","1692","1600","1600"
"MU","4312302","Miraguaí (RS)","10","10","10","10","5","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312351","Montauri (RS)","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312377","Monte Alegre dos Campos (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312385","Monte Belo do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312401","Montenegro (RS)","410","410","410","410","410","410","410","410","410","410","410","450","450","300","300","300","300"
"MU","4312427","Mormaço (RS)","5","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312443","Morrinhos do Sul (RS)","1460","1240","1240","1445","1445","1435","1445","1440","1445","1445","1445","1445","1445","1445","1445","1445","1445"
"MU","4312450","Morro Redondo (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312476","Morro Reuter (RS)","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"MU","4312500","Mostardas (RS)","33296","33397","35540","36250","37069","37886","37786","37786","37900","38919","39896","39676","38807","33160","30247","31620","32000"
"MU","4312609","Muçum (RS)","2","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312617","Muitos Capões (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312625","Muliterno (RS)","15","10","6","6","3","3","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312658","Não-Me-Toque (RS)","8","8","8","5","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312674","Nicolau Vergueiro (RS)","15","12","8","5","2","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312708","Nonoai (RS)","48","48","30","20","10","10","5","3","3","2","-","-","-","-","-","-","-"
"MU","4312757","Nova Alvorada (RS)","8","8","8","-","-","-","-","-","-","-","-","1","2","1","-","-","-"
"MU","4312807","Nova Araçá (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312906","Nova Bassano (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4312955","Nova Boa Vista (RS)","5","5","5","4","4","-","-","-","-","-","-","-","-","1","2","2","2"
"MU","4313003","Nova Bréscia (RS)","8","8","8","5","3","2","1","1","1","-","-","-","-","-","-","-","-"
"MU","4313011","Nova Candelária (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4313037","Nova Esperança do Sul (RS)","430","430","300","300","230","300","230","230","230","195","220","200","200","200","180","200","80"
"MU","4313060","Nova Hartz (RS)","5","5","5","5","5","5","5","5","5","-","-","-","1","1","1","-","-"
"MU","4313086","Nova Pádua (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4313102","Nova Palma (RS)","175","175","175","175","175","150","150","150","150","150","150","150","150","150","150","150","200"
"MU","4313201","Nova Petrópolis (RS)","2","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-"
"MU","4313300","Nova Prata (RS)","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-"
"MU","4313334","Nova Ramada (RS)","30","20","20","13","8","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4313359","Nova Roma do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4313375","Nova Santa Rita (RS)","1700","2300","2300","3500","3000","2533","3900","3900","3900","3900","4100","4000","4100","4100","4100","4100","4300"
"MU","4313391","Novo Cabrais (RS)","2006","2067","2100","2100","2100","2100","2000","1900","1950","1950","1950","1650","1650","1650","1650","1650","1550"
"MU","4313409","Novo Hamburgo (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4313425","Novo Machado (RS)","5","5","5","-","-","5","5","5","5","5","5","-","5","5","-","-","-"
"MU","4313441","Novo Tiradentes (RS)","20","20","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4313466","Novo Xingu (RS)","3","3","3","4","4","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4313490","Novo Barreiro (RS)","30","30","30","30","10","10","5","-","-","-","-","-","-","-","-","-","-"
"MU","4313508","Osório (RS)","5015","5015","3000","3000","3000","3500","3670","3670","3600","3500","3500","4000","4000","4000","4000","4200","4225"
"MU","4313607","Paim Filho (RS)","30","15","15","5","5","5","5","5","2","-","-","-","-","-","-","-","-"
"MU","4313656","Palmares do Sul (RS)","19212","18865","18865","19684","19684","23148","23118","23220","21249","23350","22500","19500","19300","12845","11412","13000","13000"
"MU","4313706","Palmeira das Missões (RS)","350","350","350","150","350","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4313805","Palmitinho (RS)","80","80","80","40","40","40","-","-","-","-","-","-","-","2","2","2","2"
"MU","4313904","Panambi (RS)","20","10","10","10","10","10","5","-","-","-","-","-","-","-","-","-","-"
"MU","4313953","Pantano Grande (RS)","5000","5000","5000","5000","5500","5800","4800","4941","4650","4650","4180","4420","4420","4530","4200","4200","4350"
"MU","4314001","Paraí (RS)","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314027","Paraíso do Sul (RS)","3800","4088","4088","4168","3863","4118","4038","3952","3960","3990","3765","3855","3765","3855","3943","3800","3800"
"MU","4314035","Pareci Novo (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314050","Parobé (RS)","18","18","18","18","31","26","22","22","34","-","-","-","-","-","-","-","-"
"MU","4314068","Passa Sete (RS)","30","10","-","5","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314076","Passo do Sobrado (RS)","800","800","800","880","1400","1250","1000","800","800","800","790","490","494","570","570","600","650"
"MU","4314100","Passo Fundo (RS)","30","30","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314134","Paulo Bento (RS)","5","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314159","Paverama (RS)","-","-","2","2","2","3","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314175","Pedras Altas (RS)","2300","2300","2300","2183","2183","2173","1500","2000","2000","1850","1850","2428","1530","810","535","585","665"
"MU","4314209","Pedro Osório (RS)","2720","2720","2900","2855","3350","4671","3478","3855","4154","3909","3549","3836","2782","1987","2201","3505","3156"
"MU","4314308","Pejuçara (RS)","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314407","Pelotas (RS)","7710","8010","10010","9912","10109","9138","6968","7772","7177","8071","8344","8086","8035","7177","7422","7967","8249"
"MU","4314423","Picada Café (RS)","4","4","4","4","4","2","2","2","2","1","1","1","1","1","1","1","1"
"MU","4314456","Pinhal (RS)","10","10","10","10","2","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314464","Pinhal da Serra (RS)","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314472","Pinhal Grande (RS)","150","150","120","120","125","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314498","Pinheirinho do Vale (RS)","53","53","53","-","-","-","-","-","-","1","1","1","1","1","1","1","1"
"MU","4314506","Pinheiro Machado (RS)","50","50","50","50","50","50","-","-","-","-","-","70","70","70","-","46","48"
"MU","4314548","Pinto Bandeira (RS)","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-"
"MU","4314555","Pirapó (RS)","5","7","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314605","Piratini (RS)","1060","760","750","666","666","657","528","618","543","521","599","650","618","580","535","472","497"
"MU","4314704","Planalto (RS)","50","50","50","50","50","10","4","2","2","2","2","2","2","1","1","1","1"
"MU","4314753","Poço das Antas (RS)","4","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314779","Pontão (RS)","40","30","20","20","20","23","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314787","Ponte Preta (RS)","10","10","10","10","10","8","-","-","-","-","-","-","-","-","-","-","-"
"MU","4314803","Portão (RS)","164","173","173","173","173","173","170","170","170","170","170","170","170","160","160","160","160"
"MU","4314902","Porto Alegre (RS)","432","434","500","500","500","273","250","275","250","403","452","411","710","630","370","398","398"
"MU","4315008","Porto Lucena (RS)","5","5","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4315057","Porto Mauá (RS)","1","1","1","1","1","1","1","1","1","1","1","1","1","1","-","-","-"
"MU","4315073","Porto Vera Cruz (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4315107","Porto Xavier (RS)","5","5","3","1","1","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4315131","Pouso Novo (RS)","18","18","18","10","6","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4315149","Presidente Lucena (RS)","3","3","3","3","3","3","2","2","1","1","1","1","1","1","1","1","1"
"MU","4315156","Progresso (RS)","14","15","15","15","10","7","7","7","7","7","7","8","8","6","-","-","-"
"MU","4315172","Protásio Alves (RS)","15","15","15","15","15","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4315206","Putinga (RS)","8","5","2","-","-","-","-","-","-","-","-","1","1","1","1","1","1"
"MU","4315305","Quaraí (RS)","12193","8400","12452","12580","12290","12700","9284","11279","11387","11925","11255","11485","11558","10773","10584","10009","9908"
"MU","4315313","Quatro Irmãos (RS)","3","3","3","4","4","4","1","-","-","-","-","-","-","-","-","-","-"
"MU","4315321","Quevedos (RS)","3","1","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-"
"MU","4315354","Quinze de Novembro (RS)","3","2","2","1","1","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4315404","Redentora (RS)","70","70","70","70","50","10","2","-","-","-","-","-","-","-","-","-","-"
"MU","4315453","Relvado (RS)","7","7","5","2","2","2","1","1","1","1","1","2","2","2","-","-","-"
"MU","4315503","Restinga Sêca (RS)","16850","17300","17300","17450","16400","17450","16099","16600","17245","16938","16035","16426","16280","16070","15430","15450","14700"
"MU","4315552","Rio dos Índios (RS)","6","6","6","5","5","5","5","5","2","2","2","2","-","-","-","-","2"
"MU","4315602","Rio Grande (RS)","16240","16700","18300","19800","20590","20500","20500","19350","20000","22092","19277","19267","17323","17190","17422","18292","18451"
"MU","4315701","Rio Pardo (RS)","9600","10520","10520","10820","10320","12000","10000","10000","9500","9250","8160","8200","8500","8550","8100","8500","8100"
"MU","4315750","Riozinho (RS)","10","10","10","8","8","2","2","2","2","2","2","2","2","1","1","-","-"
"MU","4315800","Roca Sales (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4315909","Rodeio Bonito (RS)","22","22","22","22","22","22","1","-","1","-","-","-","-","-","-","-","-"
"MU","4315958","Rolador (RS)","5","5","2","2","2","2","20","20","20","-","-","-","-","-","-","-","-"
"MU","4316006","Rolante (RS)","85","85","85","100","100","100","140","160","160","160","200","250","280","280","280","300","300"
"MU","4316105","Ronda Alta (RS)","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4316204","Rondinha (RS)","5","5","5","4","4","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4316303","Roque Gonzales (RS)","4","4","4","4","4","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4316402","Rosário do Sul (RS)","20500","15000","22000","22000","20000","22600","19000","19200","20300","20000","19086","20452","19350","17432","16838","14824","15997"
"MU","4316428","Sagrada Família (RS)","12","12","12","12","1","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4316436","Saldanha Marinho (RS)","8","8","6","6","6","6","6","6","3","-","-","-","-","-","-","-","-"
"MU","4316451","Salto do Jacuí (RS)","20","20","20","10","10","5","5","-","-","-","-","-","-","-","-","-","-"
"MU","4316477","Salvador das Missões (RS)","2","2","1","-","1","1","1","1","-","-","-","-","-","-","-","-","-"
"MU","4316501","Salvador do Sul (RS)","10","10","10","10","10","5","5","5","5","5","5","5","3","4","4","4","6"
"MU","4316600","Sananduva (RS)","10","10","10","10","5","5","-","3","1","-","-","-","-","-","-","-","-"
"MU","4316709","Santa Bárbara do Sul (RS)","10","10","10","8","8","8","8","-","-","-","-","-","-","-","-","-","-"
"MU","4316733","Santa Cecília do Sul (RS)","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4316758","Santa Clara do Sul (RS)","-","-","-","-","1","1","1","1","-","-","-","-","-","-","-","-","-"
"MU","4316808","Santa Cruz do Sul (RS)","1650","1650","1620","1620","1620","1620","1620","1620","1620","1620","1700","2054","1900","1900","1750","1900","1720"
"MU","4316907","Santa Maria (RS)","9400","9478","9508","9508","8490","9840","8100","8513","8760","8714","7975","7631","7630","6250","5792","5618","5604"
"MU","4316956","Santa Maria do Herval (RS)","4","4","4","4","4","3","3","3","5","5","5","5","5","5","5","5","5"
"MU","4316972","Santa Margarida do Sul (RS)","4500","4800","5000","5000","7050","7200","5000","4750","4882","5000","5000","5234","5192","4829","5217","5300","5300"
"MU","4317004","Santana da Boa Vista (RS)","300","300","300","310","310","358","550","550","550","1200","322","295","280","250","380","221","150"
"MU","4317103","Sant'Ana do Livramento (RS)","11000","7738","10300","10400","10360","11829","8593","8627","9318","9715","10512","10119","9340","8221","8508","8072","9052"
"MU","4317202","Santa Rosa (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4317251","Santa Tereza (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4317301","Santa Vitória do Palmar (RS)","53656","46169","56762","64065","66535","70737","67877","70325","70000","68545","68848","70901","68848","65737","63251","68617","68116"
"MU","4317400","Santiago (RS)","75","20","65","63","63","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4317509","Santo Ângelo (RS)","70","50","50","50","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4317558","Santo Antônio do Palma (RS)","10","10","10","10","5","5","4","4","4","4","4","4","4","4","4","-","-"
"MU","4317608","Santo Antônio da Patrulha (RS)","13529","11778","13000","13000","13000","13520","14000","14000","13450","14416","13950","13600","13600","13000","12000","12340","11907"
"MU","4317707","Santo Antônio das Missões (RS)","3400","2900","3865","4910","6160","5300","4100","3850","4090","4000","3889","4760","3040","2500","2829","2422","2092"
"MU","4317756","Santo Antônio do Planalto (RS)","5","5","5","4","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4317806","Santo Augusto (RS)","80","90","70","70","70","60","30","-","30","20","-","-","-","-","-","-","-"
"MU","4317905","Santo Cristo (RS)","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4317954","Santo Expedito do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318002","São Borja (RS)","44360","42865","45320","49982","49825","50000","48525","50390","51000","48675","44000","44000","43612","38800","37584","38300","35635"
"MU","4318051","São Domingos do Sul (RS)","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318101","São Francisco de Assis (RS)","4250","4000","4340","4380","4700","4941","3476","3170","3500","3470","3544","4164","3450","2935","2738","2935","3150"
"MU","4318200","São Francisco de Paula (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318309","São Gabriel (RS)","29500","25000","29000","29000","30300","30000","24760","25000","28000","28500","28000","28953","29000","23380","26690","22550","25800"
"MU","4318408","São Jerônimo (RS)","2000","2000","2200","2000","1800","1500","1200","1200","1250","1250","2040","2150","2040","2040","1240","1200","1200"
"MU","4318424","São João da Urtiga (RS)","10","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318432","São João do Polêsine (RS)","1900","1900","2000","2000","2000","2000","2000","2033","2033","2033","2033","2033","2033","2033","2033","2033","2033"
"MU","4318440","São Jorge (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318457","São José das Missões (RS)","100","100","100","100","3","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318465","São José do Herval (RS)","4","6","8","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318481","São José do Hortêncio (RS)","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","10","10"
"MU","4318499","São José do Inhacorá (RS)","1","1","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-"
"MU","4318507","São José do Norte (RS)","2000","2200","2200","2114","2114","2114","2101","2101","2000","2000","2000","1800","2000","1482","1482","1482","2000"
"MU","4318606","São José do Ouro (RS)","5","5","5","5","2","2","2","-","-","-","-","-","-","-","-","-","-"
"MU","4318614","São José do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318622","São José dos Ausentes (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318705","São Leopoldo (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4318804","São Lourenço do Sul (RS)","9415","9415","9870","10350","10100","10400","9900","9630","9822","9820","9688","10500","10185","9230","7302","8600","8106"
"MU","4318903","São Luiz Gonzaga (RS)","410","410","410","410","375","255","250","200","100","100","50","50","-","-","-","-","-"
"MU","4319000","São Marcos (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4319109","São Martinho (RS)","15","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4319125","São Martinho da Serra (RS)","200","150","150","150","150","140","60","60","45","45","45","45","45","45","45","45","45"
"MU","4319158","São Miguel das Missões (RS)","90","90","100","45","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4319208","São Nicolau (RS)","60","200","200","140","30","30","-","80","80","-","-","-","-","-","-","-","-"
"MU","4319307","São Paulo das Missões (RS)","10","10","6","5","3","-","-","-","-","-","-","-","-","1","-","-","-"
"MU","4319356","São Pedro da Serra (RS)","8","8","8","8","5","4","4","2","1","1","-","-","-","-","-","-","-"
"MU","4319364","São Pedro das Missões (RS)","3","3","3","3","5","5","5","3","-","-","-","-","-","-","-","-","-"
"MU","4319372","São Pedro do Butiá (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4319406","São Pedro do Sul (RS)","4100","3900","3900","4050","4050","4050","3700","4000","4000","3700","3427","3488","3488","3342","4000","4000","4000"
"MU","4319505","São Sebastião do Caí (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4319604","São Sepé (RS)","19700","19700","20000","20000","18915","22520","18170","17000","17900","17853","16644","17200","17200","17000","16000","17500","16000"
"MU","4319703","São Valentim (RS)","15","15","15","15","8","4","2","2","-","-","-","-","-","-","-","-","-"
"MU","4319711","São Valentim do Sul (RS)","10","5","5","5","5","2","2","1","2","2","2","2","2","1","-","-","-"
"MU","4319737","São Valério do Sul (RS)","5","5","8","5","1","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4319752","São Vendelino (RS)","3","3","3","3","3","3","3","3","3","3","-","-","-","-","-","-","-"
"MU","4319802","São Vicente do Sul (RS)","9920","10100","9800","10000","10000","10000","9000","9465","9500","9485","8963","9455","9385","9092","9275","9305","9210"
"MU","4319901","Sapiranga (RS)","105","105","105","105","105","105","105","95","95","5","105","105","105","105","104","104","104"
"MU","4320008","Sapucaia do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4320107","Sarandi (RS)","5","5","5","4","4","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4320206","Seberi (RS)","330","330","300","330","330","310","70","18","5","5","5","5","5","5","5","5","4"
