mesoregion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Centro Ocidental Rio-Grandense,227580,253480,303460,379830,456945,511340,497840,488065,498740,498400,511890,532000,564075,626500,665290,698220,717520,740700,770680,806745,824435,852932,880624
Centro Oriental Rio-Grandense,64676,71806,84757,107241,129048,136701,130694,128697,130167,136171,139103,147539,196094,253984,276518,287236,298642,306630,321159,293872,307957,306175,324275
Metropolitana de Porto Alegre,2375,5094,7723,9711,20595,24690,21423,20023,18244,18466,18756,21410,42994,65383,83960,92233,107134,108091,116016,130356,148890,155635,181350
Nordeste Rio-Grandense,94748,89955,120162,135592,163680,183983,182310,181790,179194,194658,212210,212063,218636,239835,261095,278545,291830,290836,304693,301931,314519,323275,326030
Noroeste Rio-Grandense,2462977,2366010,2557470,2648186,2784325,2836812,2658995,2694375,2622230,2639998,2747879,2772310,2747600,2838850,2892420,2968667,3055982,3055802,3094664,3079098,3083439,3090965,3113999
Sudeste Rio-Grandense,35038,36828,51410,62310,82044,108572,78659,83620,80280,90676,111740,123967,145400,240041,314955,354248,396539,415428,437606,478500,503383,533446,580486
Sudoeste Rio-Grandense,143162,153325,182270,249100,347700,377174,298580,294333,275570,244877,280200,266100,354448,463240,495804,584750,596437,624373,664266,753031,813748,845192,980906
