ibge,id_mun,latitude,longitude,municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4301909,430190,-30.292675,-51.300874,Barra do Ribeiro,8800,8700,8900,8900,10112,11112,12000,12700,12637,14001,14459,14535,14063,12348,12659,13044,12961,13062,13250,13082,12486,12397,12394
4301925,430192,-27.408758,-52.414105,Barra do Rio Azul,10,10,10,10,10,10,10,10,10,10,3,3,1,1,1,0,0,0,0,0,0,0,2
4301958,430195,-27.923826,-53.036297,Barra Funda,12,12,12,12,10,10,5,5,5,4,0,0,0,0,0,0,0,0,0,1,1,1,1
4301800,430180,-27.68023,-51.460151,Barracão,100,70,70,20,10,20,20,10,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0
4302006,430200,-29.087704,-52.587752,Barros Cassal,50,50,50,50,50,50,50,50,25,25,25,25,25,25,15,15,0,0,0,0,0,0,0
4302055,430205,-27.508584,-52.602225,Benjamin Constant do Sul,5,5,5,5,5,5,5,7,8,13,5,5,2,2,2,2,1,1,1,1,0,0,0
4302105,430210,-29.167402,-51.51556,Bento Gonçalves,4,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,0,1,0,0,0,0
4302154,430215,-27.666111,-53.312756,Boa Vista das Missões,25,25,25,25,25,25,25,25,25,25,4,4,2,2,2,1,5,5,5,5,3,3,3
4302204,430220,-27.671567,-54.109481,Boa Vista do Buricá,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4302220,430222,-28.577434,-53.813735,Boa Vista do Cadeado,0,70,70,100,50,30,30,30,30,30,10,10,0,0,0,0,0,0,0,0,0,0,0
4302238,430223,-28.818488,-53.388705,Boa Vista do Incra,0,26,26,26,20,20,20,20,20,20,20,20,5,0,0,0,0,0,0,0,0,0,0
4302253,430225,-29.350119,-51.677272,Boa Vista do Sul,1,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
4302352,430235,-29.494485,-51.355519,Bom Princípio,25,25,25,25,25,0,0,0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,3
4302378,430237,-27.546774,-53.866791,Bom Progresso,28,13,13,20,15,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4302402,430240,-29.607423,-51.943847,Bom Retiro do Sul,0,0,0,16,21,15,9,10,19,10,8,33,49,34,34,34,34,34,34,34,34,34,34
4302451,430245,-29.305158,-52.42805,Boqueirão do Leão,30,30,25,25,25,25,25,25,15,15,15,18,18,18,18,12,12,3,3,3,3,3,3
4302501,430250,-28.730724,-54.909811,Bossoroca,900,300,300,50,200,170,50,55,90,108,108,0,0,0,0,0,0,0,0,0,0,0,0
4302584,430258,-28.36629,-53.772402,Bozano,0,10,10,10,10,10,10,10,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
4302600,430260,-27.619193,-53.744329,Braga,120,21,19,15,15,15,10,10,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
4302659,430265,-29.555528,-51.588916,Brochier,10,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,2
4302709,430270,-30.116144,-51.961483,Butiá,1100,1500,1200,1200,1250,1320,1200,1550,1550,1500,1300,1650,1200,1200,1200,1300,1200,800,1200,1200,160,800,700
4302808,430280,-30.514743,-53.487569,Caçapava do Sul,3020,3700,3300,3000,3800,3500,3800,3800,3800,4000,4000,3867,3000,3694,3600,3600,3600,3250,3120,2950,2714,2964,2696
