mesoregion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Centro Ocidental Rio-Grandense,77770,91570,82440,78030,67980,64456,78900,73290,71960,70990,58200,55700,54845,47610,43862,44772,35239,38740,33815,31520,29685,33645,32811
Centro Oriental Rio-Grandense,148980,147161,143968,147916,146908,130361,152235,149220,149842,145455,133290,131695,120920,121240,119030,115296,102904,103102,93299,88175,78990,82465,82625
Metropolitana de Porto Alegre,66689,67763,66870,62880,73484,46932,63860,65892,64751,60714,59751,61635,59795,51787,48501,44926,44041,46654,42526,41563,41058,42108,44486
Nordeste Rio-Grandense,148807,164240,156210,166345,165175,166670,174285,170640,175930,170780,155350,153880,161780,151493,141040,125090,112705,123420,102684,119728,112340,116449,126660
Noroeste Rio-Grandense,893997,995869,811753,760490,663284,647842,805400,743465,778675,797435,613735,574930,610442,547833,464958,426493,351586,414735,339706,385694,400603,407880,387988
Sudeste Rio-Grandense,150230,156900,151630,148016,133866,100518,95450,113330,97840,95180,87471,85899,72738,78705,71535,67430,61500,67930,57990,60377,51643,57070,55943
Sudoeste Rio-Grandense,51286,52460,51965,53100,52600,49340,51930,49550,47000,45200,43600,36570,38700,35060,36588,30786,32535,36640,36140,36040,37254,40525,53287
